,id,duration,start_date,start_station,end_date,end_station,bike_number,sub_type,zip_code,birth_date,gender
0,1,9,2011-07-28 10:12:00,23,2011-07-28 10:12:00,23,B00468,Registered,'97217,1976.0,Male
1,2,220,2011-07-28 10:21:00,23,2011-07-28 10:25:00,23,B00554,Registered,'02215,1966.0,Male
2,3,56,2011-07-28 10:33:00,23,2011-07-28 10:34:00,23,B00456,Registered,'02108,1943.0,Male
3,4,64,2011-07-28 10:35:00,23,2011-07-28 10:36:00,23,B00554,Registered,'02116,1981.0,Female
4,5,12,2011-07-28 10:37:00,23,2011-07-28 10:37:00,23,B00554,Registered,'97214,1983.0,Female
5,6,19,2011-07-28 10:39:00,23,2011-07-28 10:39:00,23,B00456,Registered,'02021,1951.0,Male
6,7,24,2011-07-28 10:47:00,23,2011-07-28 10:47:00,23,B00554,Registered,'02140,1971.0,Female
7,8,7,2011-07-28 10:48:00,23,2011-07-28 10:48:00,23,B00554,Registered,'02140,1971.0,Female
8,9,8,2011-07-28 11:01:00,23,2011-07-28 11:01:00,23,B00554,Registered,'97214,1983.0,Female
9,10,1108,2011-07-28 11:55:00,47,2011-07-28 12:13:00,40,B00550,Registered,'01867,1994.0,Male
10,11,1055,2011-07-28 11:55:00,47,2011-07-28 12:13:00,40,B00580,Registered,'01867,1956.0,Male
11,12,1042,2011-07-28 11:55:00,47,2011-07-28 12:12:00,40,B00539,Registered,'01867,1959.0,Female
12,13,994,2011-07-28 12:00:00,40,2011-07-28 12:16:00,47,B00368,Casual,,,
13,14,15,2011-07-28 12:00:00,22,2011-07-28 12:00:00,22,B00442,Registered,'02446,1982.0,Male
14,15,952,2011-07-28 12:00:00,40,2011-07-28 12:16:00,23,B00556,Registered,'02128,1944.0,Male
15,16,32,2011-07-28 12:00:00,22,2011-07-28 12:01:00,22,B00316,Registered,'02115,1960.0,Female
16,17,1261,2011-07-28 12:00:00,22,2011-07-28 12:21:00,45,B00454,Registered,'02492,1975.0,Male
17,18,7,2011-07-28 12:00:00,22,2011-07-28 12:00:00,22,B00404,Registered,'02446,1956.0,Male
18,19,1020,2011-07-28 12:01:00,38,2011-07-28 12:18:00,36,B00147,Registered,'02118,1987.0,Female
19,20,1264,2011-07-28 12:01:00,38,2011-07-28 12:22:00,44,B00165,Registered,'02139,1985.0,Female
20,21,1043,2011-07-28 12:01:00,38,2011-07-28 12:18:00,44,B00527,Registered,'02351,1978.0,Male
21,22,969,2011-07-28 12:01:00,22,2011-07-28 12:17:00,44,B00487,Registered,'02143,1971.0,Male
22,23,1582,2011-07-28 12:01:00,38,2011-07-28 12:27:00,10,B00093,Registered,'02130,1980.0,Female
23,24,620,2011-07-28 12:01:00,22,2011-07-28 12:12:00,20,B00375,Registered,'02474,1955.0,Female
24,25,7,2011-07-28 12:02:00,22,2011-07-28 12:02:00,22,B00275,Registered,'02140,1971.0,Female
25,26,771,2011-07-28 12:02:00,38,2011-07-28 12:15:00,42,B00279,Registered,'02108,1943.0,Male
26,27,1222,2011-07-28 12:02:00,38,2011-07-28 12:22:00,44,B00074,Registered,'02143,1972.0,Female
27,28,4,2011-07-28 12:02:00,22,2011-07-28 12:02:00,22,B00137,Registered,'01776,1949.0,Male
28,29,5,2011-07-28 12:02:00,22,2011-07-28 12:02:00,22,B00082,Registered,'01880,1968.0,Male
29,30,824,2011-07-28 12:02:00,22,2011-07-28 12:16:00,38,B00460,Registered,'02131,1967.0,Male
30,31,873,2011-07-28 12:02:00,38,2011-07-28 12:17:00,47,B00025,Registered,'02115,1975.0,Female
31,32,1377,2011-07-28 12:03:00,22,2011-07-28 12:26:00,25,B00404,Registered,'02446,1982.0,Male
32,33,1114,2011-07-28 12:03:00,22,2011-07-28 12:22:00,48,B00392,Registered,'02144,1958.0,Male
33,34,16,2011-07-28 12:03:00,22,2011-07-28 12:04:00,22,B00198,Registered,'02116,1976.0,Male
34,35,1655,2011-07-28 12:04:00,22,2011-07-28 12:32:00,36,B00316,Registered,'02115,1960.0,Female
35,36,1953,2011-07-28 12:05:00,22,2011-07-28 12:37:00,31,B00069,Registered,'02021,1951.0,Male
36,37,1989,2011-07-28 12:05:00,22,2011-07-28 12:38:00,31,B00298,Registered,'02151,1987.0,Female
37,38,1015,2011-07-28 12:06:00,22,2011-07-28 12:23:00,36,B00543,Registered,'02116,1981.0,Female
38,39,863,2011-07-28 12:08:00,22,2011-07-28 12:23:00,42,B00189,Registered,'02127,1968.0,Male
39,40,6,2011-07-28 12:09:00,16,2011-07-28 12:09:00,16,B00533,Registered,'02445,1958.0,Male
40,41,460,2011-07-28 12:10:00,22,2011-07-28 12:18:00,49,B00353,Registered,'01880,1968.0,Male
41,42,724,2011-07-28 12:11:00,22,2011-07-28 12:23:00,40,B00442,Registered,'02113,1973.0,Female
42,43,1624,2011-07-28 12:14:00,40,2011-07-28 12:41:00,20,B00550,Registered,'01867,1994.0,Male
43,44,191,2011-07-28 12:14:00,22,2011-07-28 12:18:00,22,B00275,Registered,'01876,1963.0,Female
44,45,1390,2011-07-28 12:14:00,36,2011-07-28 12:38:00,23,B00111,Registered,'02114,1975.0,Male
45,46,1587,2011-07-28 12:15:00,40,2011-07-28 12:41:00,20,B00539,Registered,'01867,1956.0,Male
46,47,1578,2011-07-28 12:15:00,40,2011-07-28 12:41:00,20,B00580,Registered,'01867,1994.0,Female
47,48,2585,2011-07-28 12:15:00,38,2011-07-28 12:58:00,38,B00101,Registered,'02492,1968.0,Male
48,49,899,2011-07-28 12:16:00,22,2011-07-28 12:31:00,49,B00082,Registered,'01776,1949.0,Male
49,50,960,2011-07-28 12:19:00,45,2011-07-28 12:35:00,36,B00426,Registered,'01742,1962.0,Male
50,51,782,2011-07-28 12:20:00,22,2011-07-28 12:33:00,20,B00359,Registered,'01945,1943.0,Male
51,52,326,2011-07-28 12:20:00,36,2011-07-28 12:25:00,46,B00147,Registered,'02118,1987.0,Female
52,53,376,2011-07-28 12:23:00,45,2011-07-28 12:29:00,10,B00454,Registered,'02492,1975.0,Male
53,54,1556,2011-07-28 12:24:00,45,2011-07-28 12:50:00,16,B00131,Registered,'02143,1981.0,Male
54,55,1681,2011-07-28 12:25:00,5,2011-07-28 12:53:00,23,B00231,Registered,'02140,1967.0,Male
55,56,2121,2011-07-28 12:27:00,40,2011-07-28 13:02:00,40,B00358,Casual,,,
56,57,2702,2011-07-28 12:25:00,22,2011-07-28 13:10:00,14,B00058,Registered,'01876,1963.0,Female
57,58,714,2011-07-28 12:26:00,36,2011-07-28 12:38:00,39,B00170,Registered,'02116,1983.0,Male
58,59,674,2011-07-28 12:27:00,36,2011-07-28 12:38:00,39,B00543,Registered,'02116,1981.0,Female
59,60,531,2011-07-28 12:30:00,46,2011-07-28 12:38:00,46,B00147,Registered,'02118,1987.0,Female
